Group, Work, Technology Node, Transducer Type, Transducer Capacitance (pF), Max. Voltage (V), Architecture, Polarity, Amplitude Levels, Bandwidth (MHz), PRF (kHz),Cycles,Power Reduction (%),Peak Power Dissipation/Ch (mW),Power Dissipation/Ch @ Cycles (mW), Area/Ch (mm^2),Off-Chip Component, DOI, Notes
R&D Hitachi,Igarashi2019JSSC,180nm HV SOI,PZT,~6,138,RTZ CLS-D HV-INV,Bipolar,3,1.5,NR,NR,0,NR,0.31,0.04,NR,https://doi.org/10.1109/JSSC.2019.2921697,Return-to-Zero immplementation.
Butterfly Network,NSanchezISSCC2021,130nm HV BCD-CMOS,CMUT,<8,50,ZCD-DAC-DRVR,Bipolar,7,10.7,<4,3,0,NR,<0.66,<0.015,NR,https://doi.org/10.1109/ISSCC42613.2021.9365808,ButterflyIQ work
Pavia Uni. & ST Microelectronics,MSauttoESSCIRC2014,180nm BCD-SOI,CMUT,23,100,CLS-D LVLS-INV,Unipolar,2,10,NR,2,0,NR,<1,0.12,NR,https://doi.org/10.1109/ESSCIRC.2014.6942108,Dynamic gate biasing on the RX circuit. DMOS 180nm BCD-SOI devices being driven by external 0.35µm HV CMOS gate driver / level shifters.
KAIST & Samsung & NIH Singapore,JLeeJSSC2021,180nm LV CMOS,PMUT,15.4,13.2,CR-Stacked CLS-D INV DRVR,Unipolar,3,10,1,3,32.8,13.9,<1.14,0.02,NR,https://doi.org/10.1109/JSSC.2021.3049560,Very interesting technique of averaging both places by short-circuiting them for achieving 3 voltage levels and reduce power dissipation per channel.
EID-TUDelft,MTanJSSC2020,180nm HV BCD-CMOS,PZT,18,60,LVLS CLS-D RZ-LVLS INV,Bipolar,3,9,4,3,NR,NR,0.98,0.167,NR,https://doi.org/10.1109/JSSC.2020.2987719,NR
EID-TUDelft,KChenJSSC2013,180nm HV BCD-CMOS,CMUT,40,30,DC-DC CONV WAVEGEN,Unipolar,3,5,12.5,5,38,NR,<2.28,<0.3,DC-DC Converter,https://doi.org/10.1109/JSSC.2013.2274895,Interesting use of Off-chip DC-DC-Conv for reference generation. Very interesting use of vegetable oil for approximating the acoustic attenuation of the media to that of soft-tissue.
GT-Bionics Lab-GeorgiaIT,GJungTCASII2017,180nm HV BCD-CMOS,CMUT,8,85,3-LVL CLS-D INV LVLS-DRVR,Unipolar,3,8.3,NR,1,0,48.6,NR,0.2,Capacitor,https://doi.org/10.1109/TCSII.2017.2691676,None.
POSTECH-S.Korea,KJChoiTCASII2020,180nm HV BCD-CMOS,PMUT,37.7,27,INT DC-DC CONV (SUP MULT),Unipolar,7,1,NR,2,57.9,17.6,NR,10.8,Capacitors,https://doi.org/10.1109/TCSII.2020.3019811,Uses Off-chip capacitors with on-chip HV switches for 5V supply multiplying through DC-DC converter implementation. Very interesting!
KAIST & Samsung,JChoiISSCC2021,180nm HV BCD-CMOS,NR,820,30,H-BRIDGE INDUCTOR LC-TANK RESONATOR,Unipolar,2,1,NR,NR,73.1,NR,NR,5.4,Inductor,https://doi.org/10.1109/ISSCC42613.2021.9365826,Interesting use of the Inductor to implement an LC tank that instead of using a charge-replenish middle-phase in a 3-level voltage pulser to reduce dynamic power dissipation it stores the dynamic energy in the inductor to use in the next cycle and driving the dynamic power dissipation related to charging the transducers lossy parastic branch to zero overtime (long num of cycles in  the PRF).
EID-TUDelft,PGuoISSCC2025,180nm HV BCD-CMOS,CMUT,120,36,SHARED H-BRIDGE INDUCTOR RESONATOR,Unipolar,2,2,NR,NR,88,38.43,NR,<0.265,Inductor,https://doi.org/10.1109/ISSCC49661.2025.10904513,Shares the inductor based LC tank between multiple channels enabling the use of a single inductor for driving dynamic power dissipation towards zero.
imec/BIOELE-TUDelft,MGourdouparisISSCC2024,65nm LV CMOS,PMUT,2.5,4.8,MULTI-VDDD CLASS-D DRVR,Unipolar,5,7.8,NR,NR,69,11.84,NR,0.013,NR,https://doi.org/10.1109/ISSCC49657.2024.10454411,NR
ESAT-MICAS/KU-Leuven,JPelgrimsESSCIRC2021,180nm HV BCD-CMOS,PMUT,235,32,CLASS-D CHARGE-RECYCLING DC-DC-CONV,Unipolar,7,0.250,NR,NR,80,NR,NR,0.16,Capacitors,https://doi.org/10.1109/ESSCIRC53450.2021.9567765,On-chip switches with off-chip capacitors for implementing the DC-DC converters generating the 6 voltage levels excluding the ground voltage.
Pavia-Uni Italy & ST Microelectronics,LNovaresiESSCIRC2022,160nm HV BCD-SOI,PMUT,1800,30,SRC FOLLOWER DRVR WITH SHORTING SWITCH,Bipolar,3,4,NR,6,NR,NR,5.4<,1.35,NR,https://doi.org/10.1109/ESSCIRC55480.2022.9911390,Source follower based 3-level pulser achieving high bandwidth at nanofarad-range load.
Georgia Tech,GGurunTUFFC2014,0.35µm CMOS,CMUT,90e-3,25,CS NCH DRVR W/ PULL-UP RESISTOR,Unipolar,2,20,NR,NR,NR,NR,NR,0.0018,NR,https://doi.org/10.1109/TUFFC.2014.6722610,Very interesting paper with simple techniques and an unprecendented level of integration even though an older technology node is being used.
North Carolina State Uni,CSeokTBCAS2021,180nm HV BCD-CMOS,CMUT,3,60,CLS-D HV SINGLE ENDED DRVR W/ PASSIVE LVL-SHFTR,Unipolar,2,2,100,10,NR,NR,130.2,0.0625,NR,https://doi.org/10.1109/TBCAS.2021.3105064,Passive level shifter using biasing resistor to HVDD + bootstrap DC-decoup cap + protection zener diode.

