,Group,Work,Tech Node,Raw RF Data Access,Architecture,Framerate-Channel Reduction Tradeoff,Output Driver Bandwidth-Channel Reduction Tradeoff,Framerate (FPS),Power Dissipation/Elem. (mW),Active Area/Elem. (mm^2),Ch. Compression Ratio,Clock Speed (MHz),Noise Averaging,IRNC ($pA/\sqrt{Hz}$),IRNV ($nV/\sqrt{Hz}$),IRNA ($mPa/\sqrt{Hz}$),Center Freq. F0 (MHz),-3dB BW (MHz),Input Dynamic Range (dB),SNR / SNDR (dB),DOI,Notes,FPS (Hz),Nr. Channels/ $mm^2$,FoM$_{MUX}$ (dB),PaperID
0,EI-TUDelft,NurielJSSC2025,180nm BCD-CMOS,No,µBF & TDM,Yes,Yes,<2000,0.95,0.12,8,62.5,Yes,NR,NR,0.452,2.5,2.4,73.0,52.0,https://doi.org/10.1109/JSSC.2025.3534087,NR,>1000,8.333333333333334,64.2948636435902,JSSC2025
1,EI-TUDelft,YHopfJSSC2024,180nm BCD-CMOS,No,µBF & TDM,Yes,Yes,<=1000,1.12,0.03,18,240.0,Yes,NR,NR,0.6,4.0,9.8,73.03846153846153,52.2,https://doi.org/10.1109/JSSC.2023.3299749,NR,$\leq$1000,33.333333333333336,61.296893945676715,JSSC2024
2,SCEE-GIT,ARezvanitabarTBCAS2022,180nm BCD-HVCMOS,No,µBF & TDM,Yes,Yes,<=1000,4.65,0.15,40,200.0,Yes,NR,8.6,NR,5.0,12.0,76.0,,https://doi.org/10.1109/TBCAS.2022.3205024,NR,$\leq$1000,6.666666666666667,62.33577042774027,TBCAS2022
3,EI-TUDelft,CChenJSSC2018,180nm BCD-CMOS,No,µBF & TDM,Yes,Yes,<1000,0.91,0.026,36,30.0,Yes,NR,6.3,NR,5.0,11.9,84.0,51.8,https://doi.org/10.1109/JSSC.2018.2864295,NR,$\leq$1000,38.46153846153846,85.2013985372653,JSSC2018
4,EI-TUDelft,PGuoJSSC2024,180nm BCD-CMOS,No,µBF & TDM,Yes,Yes,<1000,1.83,0.048,32,480.0,Yes,0.7,NR,NR,9.0,14.3,83.0,,https://doi.org/10.1109/JSSC.2024.3355854,PAM scheme to allow for a very high compression ratio of the output data containing the concatenated ADC words. Note SAI = Synthetic Aperture Imaging,$\leq$1000,20.833333333333332,68.6145765121389,JSSC2024
5,ButterflyIQ,JRothbergPNAS2021,130nm BCD-MEMS,Yes,CES,No,Yes,>2000,0.9,0.043,32,160.0,Yes,NR,NR,0.5,5.0,10.7,85.0,,https://doi.org/10.1073/pnas.2019339118,Originated the first Butterfly IQ handeld state of the art probe.,>1000,23.255813953488374,78.46787486224656,PNAS2021
6,SME/SCEE-GIT,TCarpenterTUFFC2016,350nm 2P4M,Yes,TDM,No,Yes,<2000,0.48,0.208,8,200.0,No,NR,NR,NR,7.0,5.0,73.03846153846153,,https://doi.org/10.1109/TUFFC.2016.2557622,NR,>1000,4.8076923076923075,62.24664907798528,TUFFC2016
7,ME/SCEE-GIT,MRashidULTSYM2014,350nm CMOS,Yes,FDM,No,Yes,>1000,7.25,0.154,8,320.0,Yes,16,NR,NR,7.0,20.0,73.03846153846153,,https://doi.org/10.1109/ULTSYM.2014.0381,The TIA's bandwidth is simulated only from post layout.,>1000,6.4935064935064934,48.41448155947197,ULTSYM2014
9,CTI-Hitachi,YIgarashiJSSC2019,180nm HV SOI CMOS,No,TDM,Yes,No,<1000,0.74,0.09,24,40.0,Yes,NR,NR,NR,2.5,6.5,85.0,,https://doi.org/10.1109/JSSC.2019.2921697,"Does not indicate SNDR, SNR, input referred noise, only dynamic range",$\leq$1000,11.11111111111111,84.08919530652668,JSSC2019
10,EI-TUDelft,MTanJSSC2018,180nm CMOS BCD,Yes,SAI,Yes,No,<1000,0.052,0.6,64,60.0,No,1.1,NR,NR,13.0,16.0,53.0,42.0,https://doi.org/10.1109/JSSC.2018.2828826,"Interesting interleaved sampler to reduce ADC buffer GBW specifications + Very interesting post processing of chip, drilling a hole in the middle with custom seal ring drawing",$\leq$1000,1.6666666666666667,66.12025379965445,JSSC2018
11,KAIST-Samsung,JLeeJSSC2021,180nm CMOS,No,TDM,Yes,No,<1000,0.95,0.0625,36,200.0,Yes,NR,NR,NR,5.0,13.0,70.0,57.9,https://doi.org/10.1109/JSSC.2021.3049560,"Interesting Coarse + Fine ADC with a Bit Sharing conversion in DAS channels, and fine quantization for each individual channel",$\leq$1000,16.0,62.77548899814458,JSSC2021
12,EI-TUDelft,EKangJSSC2018,180nm CMOS BCD,Yes,TDM,Yes,Yes,>1000,2.0,0.117,40,20.0,No,NR,7.9,NR,7.5,20.0,86.0,,https://doi.org/10.1109/JSSC.2018.2820156,,>1000,8.547008547008547,86.0,JSSC2018
13,EEC-Georgia Tech.,GGurunTUFFC2014,350nm CMOS,Yes,SAI,Yes,No,<1000,0.417,0.011,12,250.0,No,0.31,NR,NR,20.1,40.0,50.0,,https://doi.org/10.1109/TUFFC.2014.6722610,,$\leq$1000,90.90909090909092,40.6110518240183,TUFFC2014
14,EEC-Georgia Tech.,GJungTBCAS2018,180nm CMOS BCD,Yes,TDM,No,Yes,>1000,6.25,0.27,8,200.0,No,NR,4.1,NR,7.0,11.0,76.0,,https://doi.org/10.1109/TBCAS.2018.2881909,,>1000,3.7037037037037033,54.061799739838875,TBCAS2018
15,EEC-Georgia Tech.,JLimJSSC2020,180nm CMOS BCD,Yes,SAI,Yes,No,<1000,0.675,0.0628,16,40.0,No,0.52,NR,NR,40.0,22.0,80.0,,https://doi.org/10.1109/JSSC.2020.2967551,,$\leq$1000,15.923566878980893,77.72756218496937,JSSC2020
16,POSTECH-SK,YKimTBCAS2016,130nm CMOS,No,TDM,Yes,No,<1000,5.8,0.0928,64,160.0,Yes,NR,NR,NR,NR,8.0,48.5,,https://doi.org/10.1109/TBCAS.2016.2571739,,$\leq$1000,10.775862068965518,36.88631997765025,TBCAS2016
